id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
1,Softwoods,"'Cedar, Port Orford'",Chamaecyparis lawsoniana,United Kingdom,G.,10,143,497,,0.33,0.03,184,34,2.0,16,3900,1350,16,0.058,0.022,16,0.25,0.058,16,0.53,,99,14.3,2.08,83,1690,,283,,,,8.1,1.08,13,9.6,1.23,15
2,Softwoods,"'Cedar, Port Orford'",Chamaecyparis lawsoniana,United Kingdom,A.D.,10,12,,417,0.37,0.031,86,68,9.5,16,5400,1710,14,0.131,0.076,16,0.14,0.078,16,0.7,,100,28.7,4.68,35,2620,,560,,,,11.2,1.78,10,12.1,1.11,10
3,Softwoods,"'Cedar, western red'",Thuja plicata,United Kingdom,G.,10,91,465,,0.31,0.035,280,38,6.5,104,5400,1410,104,0.085,0.062,49,0.174,0.078,49,0.53,,99,18.3,3.75,280,1650,,311,,,,8.9,1.56,35,7.4,1.4,96
4,Softwoods,"'Cedar, western red'",Thuja plicata,United Kingdom,A.D.,10,12,,368,0.33,0.035,281,65,10.5,107,7000,1800,107,0.081,0.027,53,0.117,0.047,53,0.58,,100,35.0,5.16,281,2000,,346,,,,7.4,1.4,96,8.9,1.56,96
5,Softwoods,"'Cypress, Leyland'",Cupressocyparis leylandii,United Kingdom,G.,3,47,577,,0.38,0.03,131,48,6.4,41,5100,1130,41,0.136,0.063,41,0.294,0.094,41,0.84,,41,22.5,3.2,131,2490,,398,,,,8.2,1.24,31,11.7,1.56,31
6,Softwoods,"'Cypress, Leyland'",Cupressocyparis leylandii,United Kingdom,A.D.,3,12,,449,0.4,0.029,100,77,8.5,38,5900,1230,41,0.114,0.034,38,0.126,0.035,38,0.76,,38,39.4,5.16,100,2980,,498,,,,8.2,1.75,34,12.4,1.5,34
7,Softwoods,"'Fir, balsam'",Abies balsamea,Canada,G.,17 planks,52,529,,0.35,0.045,202,43,7.8,196,8100,1200,195,0.06,0.016,99,0.123,0.063,99,0.51,,99,20.8,3.79,202,1730,,457,,,,6.1,1.32,98,7.4,1.87,97
8,Softwoods,"'Fir, balsam'",Abies balsamea,Canada,A.D.,9 planks,12.8,,417,0.37,0.058,106,72,15.4,100,9700,1700,100,0.083,0.028,49,0.121,0.045,49,0.64,,49,41.2,7.56,106,2400,,739,,,,6.7,1.64,48,8.2,1.94,48
9,Softwoods,"'Fir, Douglas'¹",Pseudotsuga menziesii,Canada,G.,78,41,673,,0.45,0.051,2169,54,7.6,1057,10400,1840,1057,0.059,0.016,1056,0.164,0.054,385,0.66,,569,25.9,4.47,2158,2140,,444,,,,,,,,,
10,Softwoods,"'Fir, Douglas'¹",Pseudotsuga menziesii,Canada,A.D.,78,12,,545,0.49,,,93,,,12700,,,0.088,,,0.192,,,0.86,,,52.1,,,2980,,,,,,,,,,,
11,Softwoods,"'Fir, Douglas'",Pseudotsuga menziesii,United Kingdom,G.,54,55,625,,0.41,0.049,1607,53,9.1,431,8300,1850,431,0.078,0.042,253,0.23,0.092,209,0.69,,367,24.6,4.25,1607,2400,,612,,,,8.4,1.52,407,10.2,1.86,403
12,Softwoods,"'Fir, Douglas'",Pseudotsuga menziesii,United Kingdom,A.D.,54,12,,497,0.44,0.053,1446,91,16.9,425,10500,2160,425,0.097,0.038,241,0.172,0.081,204,0.69,,368,48.3,8.03,1446,3420,,865,,,,9.5,1.9,357,11.4,2.17,356
13,Softwoods,"'Fir, grand'",Abies grandis,United Kingdom,G.,20 joists and 11 trees,121,449,,0.3,0.042,447,35,6.9,253,5700,1100,249,0.041,0.023,73,0.064,0.024,70,0.14,,211,17.0,2.88,447,1470,,475,,,,5.8,1.26,78,7.4,2.14,78
14,Softwoods,"'Fir, grand'",Abies grandis,United Kingdom,A.D.,20 joists and 11 trees,12.9,,352,0.32,0.043,435,57,10.3,226,7000,1200,226,0.054,0.024,73,0.088,0.041,73,0.115,,219,30.1,5.64,430,1780,,520,,,,6.0,1.67,61,8.1,2.14,61
15,Softwoods,"'Fir, noble'",Abies procera,United Kingdom,G.,5,191,465,,0.31,0.026,129,34,5.4,56,5700,1290,56,,,,,,,0.53,,52,16.0,1.82,129,1650,,276,,,,,,,,,
16,Softwoods,"'Fir, noble'",Abies procera,United Kingdom,A.D.,5,12,,368,0.33,0.027,127,63,8.5,42,8100,1420,42,,,,,,,0.51,,47,31.0,3.72,127,2000,,375,,,,,,,,,
17,Softwoods,"'Fir, silver'",Abies alba,United Kingdom,G.,15,100,577,,0.38,0.042,654,43,4.7,82,8100,1370,83,0.046,0.018,81,0.139,0.075,41,0.56,,45,22.0,2.79,654,1910,,348,,,,7.7,1.26,71,9.3,1.03,73
18,Softwoods,"'Fir, silver'",Abies alba,United Kingdom,A.D.,15,12,,449,0.4,0.047,381,79,10.0,61,9800,1330,61,0.085,0.027,61,0.177,0.063,32,0.64,,28,42.3,5.16,381,2850,,568,,,,7.7,1.55,59,10.0,2.06,58
19,Softwoods,"Fir, silver",Abies alba,Yugoslavia,G.,28 joists,37,545,,0.36,0.038,322,41,7.7,155,6700,1180,154,0.059,0.035,52,0.132,0.095,52,0.53,0.157,152,22.4,3.59,170,1870,517,155,6.4,1.0,150,6.0,1.3,87,7.7,1.6,85
20,Softwoods,"Fir, silver",Abies alba,Yugoslavia,A.D.,28 joists,12,,433,0.38,0.039,169,77,12.7,149,8800,1470,149,0.085,0.031,45,0.132,0.044,45,0.56,0.155,67,40.5,5.38,169,2490,590,148,9.9,1.89,130,7.4,1.2,61,9.8,2.06,61
21,Softwoods,"Hemlock, commercial western",Tsuga heterophylla and Abies spp,Canada,G.,60 planks,51,593,,0.39,0.055,740,49,10.0,713,8700,1430,695,0.074,0.022,363,0.159,0.078,363,0.58,0.152,630,24.1,4.9,740,2050,612,716,6.6,1.39,716,7.2,1.63,356,8.2,1.91,356
